DEPARTMENT_ID,LAST_RANK,PREDICTED_LAST_RANK,FIRST_RANK,PREDICTED_FIRST_RANK,Mean_Actual,Mean_Predicted
105290021,746060,734875.5,135495,135131.56,440777.5,435003.53
105290037,1375371,1356975.4,688549,687089.8,1031960.0,1022032.6
105290039,354709,356752.56,106882,106221.555,230795.5,231487.06
105290041,830664,815178.1,138883,144448.17,484773.5,479813.16
105290042,68802,68958.81,36672,36687.71,52737.0,52823.26
105290046,1046990,1050745.2,453562,435783.2,750276.0,743264.25
105290047,775698,790132.4,384872,384471.94,580285.0,587302.1
105290048,1071208,1094020.2,372467,388346.4,721837.5,741183.3
105290068,1143698,1154226.0,292738,306082.66,718218.0,730154.3
105290070,1365941,1354387.0,444093,458921.38,905017.0,906654.2
105290076,212810,210614.94,156324,159240.33,184567.0,184927.62
105290080,833085,832547.7,390892,381888.34,611988.5,607218.0
105290082,432208,431518.97,249645,253513.73,340926.5,342516.34
105290083,413699,413301.6,341425,349831.66,377562.0,381566.62
105290102,844171,822849.75,163939,166080.69,504055.0,494465.22
105310019,55911,56534.125,42881,43183.91,49396.0,49859.016
105310046,297498,292470.22,76499,77220.09,186998.5,184845.16
105310055,23579,23227.182,7190,7214.4014,15384.5,15220.791
105310064,18132,18217.607,4972,4767.3345,11552.0,11492.471
105310073,147504,146647.38,89498,90896.36,118501.0,118771.87
105310082,102631,99775.77,38772,39001.297,70701.5,69388.53
105310091,106597,104375.76,37412,36590.637,72004.5,70483.195
105310107,36846,37452.027,3083,3067.0168,19964.5,20259.521
105310143,508475,521826.06,219921,222986.67,364198.0,372406.38
105310152,503053,513370.03,362170,371116.16,432611.5,442243.1
105310161,503314,514672.03,280070,290157.94,391692.0,402415.0
105310179,369731,373119.8,122711,126278.87,246221.0,249699.34
105310188,835095,835101.9,427688,426884.28,631391.5,630993.06
105310197,256673,254918.42,6544,7095.062,131608.5,131006.74
105310204,196985,198820.53,53774,52030.414,125379.5,125425.47
105310213,1293874,1304076.0,375045,380421.62,834459.5,842248.8
105310222,1077780,1073795.6,320215,329825.1,698997.5,701810.4
105310231,781241,785928.3,188674,195416.16,484957.5,490672.25
105310249,769137,776926.06,210330,215013.66,489733.5,495969.88
105310258,263259,263105.78,193279,198794.75,228269.0,230950.27
105310301,25044,25312.748,21211,21279.504,23127.5,23296.125
105310416,39965,41248.203,28267,27832.602,34116.0,34540.402
105310425,179870,179097.92,65685,67691.15,122777.5,123394.53
105310443,1152401,1141410.1,335278,347597.84,743839.5,744504.0
105310461,58775,59118.84,7291,7478.505,33033.0,33298.67
105310479,39621,40425.38,15027,14810.765,27324.0,27618.072
105310488,576457,575975.75,314774,326264.28,445615.5,451120.0
105310504,762585,768107.5,83326,80182.75,422955.5,424145.12
105310567,21168,21014.295,1574,1541.2266,11371.0,11277.761
105310585,988767,1008633.6,332990,333963.53,660878.5,671298.56
105310594,417758,409570.9,41448,43317.55,229603.0,226444.23
105310601,986690,982798.6,117064,116424.36,551877.0,549611.5
105310682,328407,329543.06,170772,177756.55,249589.5,253649.81
105310716,930288,924446.75,228628,219342.48,579458.0,571894.6
105310734,7798,7493.235,812,712.58704,4305.0,4102.911
105310743,585143,588712.0,171870,175242.33,378506.5,381977.16
105310752,231202,229895.1,176079,181920.58,203640.5,205907.84
105310761,348871,348339.53,241830,242794.5,295350.5,295567.0
105310779,161824,164261.5,61445,65969.12,111634.5,115115.31
105310788,367636,371807.3,256091,259686.34,311863.5,315746.8
105310797,239778,241406.19,168572,176656.88,204175.0,209031.53
105310804,750493,741020.75,359962,382936.88,555227.5,561978.8
105390281,1228163,1242491.5,624317,649893.5,926240.0,946192.5
105390298,1114487,1126573.8,278700,296367.12,696593.5,711470.44
105390340,283877,281502.78,46651,45905.965,165264.0,163704.38
105390394,524589,531729.6,314913,328492.53,419751.0,430111.06
105390398,149117,149615.06,60890,65123.49,105003.5,107369.27
105410018,365344,365020.88,134245,135267.6,249794.5,250144.23
105410027,36735,38187.81,15480,15645.505,26107.5,26916.656
105410036,44536,43933.89,10211,9923.357,27373.5,26928.625
105410045,184129,186638.33,99372,102108.99,141750.5,144373.66
105410054,169130,172338.78,116633,120265.67,142881.5,146302.22
105410063,11277,11523.022,5249,5307.2314,8263.0,8415.127
105410081,74988,77044.06,51818,51743.355,63403.0,64393.71
105410099,197789,197527.62,91750,87827.016,144769.5,142677.31
105410106,251076,251143.2,164256,171506.2,207666.0,211324.7
105410115,20025,20263.406,8152,8120.706,14088.5,14192.057
105410124,161108,164748.95,123465,122936.33,142286.5,143842.64
105410133,178368,178522.9,103837,109558.1,141102.5,144040.5
105410142,401012,397138.6,158744,165649.95,279878.0,281394.28
105410151,147136,148734.45,132796,132938.62,139966.0,140836.53
105410169,361446,356046.97,229180,238701.14,295313.0,297374.06
105410178,186666,187124.53,107768,112964.54,147217.0,150044.53
105410187,111681,112832.0,72505,72747.61,92093.0,92789.805
105410203,59572,58373.375,26974,27563.137,43273.0,42968.258
105410212,31641,31268.16,11738,11677.928,21689.5,21473.043
105410239,10524,10250.154,6986,6900.906,8755.0,8575.53
105410248,96684,97967.11,70647,69986.21,83665.5,83976.66
105410257,346539,345942.66,111271,113546.71,228905.0,229744.69
105410266,356121,358585.97,253499,261141.67,304810.0,309863.8
105410275,47093,46160.55,11305,10999.642,29199.0,28580.096
105490020,135918,134518.89,93460,96092.85,114689.0,115305.875
105490021,193849,191198.69,156859,163634.38,175354.0,177416.53
