DEPARTMENT_ID,SUM_CAPACITY,SUM_ENROLLMENT,FIELD_RATE,LAST_SCORE,LAST_RANK,FIRST_SCORE,FIRST_RANK,DEPARTMENT_POPULARITY,SCORE_DIFFERENCE,SCORE_RANGE_RATIO,SCORE_STABILITY,RANK_RANGE,RANK_RANGE_RATIO,RANK_STABILITY,AVERAGE_FIELD_RATE,FIELD_RATE_STABILITY,FIELD_RATE_TREND,CAPACITY_CHANGE_RATE,ENROLLMENT_CHANGE_RATE,UNIVERSITY_POPULARITY,UNIVERSITY_SCORE_AVG,UNIVERSITY_RANK_AVG,FIELD_RATE_CHANGE,LAST_RANK_CHANGE,FIRST_RANK_CHANGE,ROLLING_FIELD_RATE,ROLLING_SCORE_DIFF,ROLLING_RANK_RANGE,SCORE_EFFICIENCY,RANK_EFFICIENCY,SCORE_TREND,RANK_TREND
103590347,72,72,1.0,369.58016,118606,408.78722,73647,1.0,39.20706000000001,0.09591067939941961,12.586465173615268,44959,0.6104661425448423,14362.568092092724,1.0,0.0,0.0,0.07462686567164178,0.07462686567164178,0.9545221904444444,376.83975653333334,122520.96,0.0,-0.18929596719070407,-0.09888778768858053,1.0,52.2562,64915.0,0.0034465981484916447,0.6209382324671602,0.06539259648426828,-0.09494990054938857
103590350,31,31,1.0,256.4698,791315,382.98304,57156,0.8846153846153847,126.51324,0.3303364034083598,24.891493007699836,734159,12.844828189516411,189231.75646941506,0.8838709999999999,0.2596723381590731,0.20099236686399358,-0.03125,-0.03125,0.9545221904444444,376.83975653333334,122520.96,0.0,-0.15283569306533207,0.6110719621163008,1.0,149.99852333333334,885221.6666666666,0.00048398304088763643,0.07222913757479639,0.055586534033752244,0.3464146758460842
103590351,31,31,1.0,179.49116,149115,271.96228,89496,0.66,92.47112000000001,0.34001450495267216,79.9680212764886,59619,0.6661638508983642,43609.49734002904,0.5978835,0.4636201809473641,2.8554139671003718,0.14814814814814814,0.1923076923076923,0.9545221904444444,376.83975653333334,122520.96,0.03846149852071168,-0.027489728037565997,0.7859908201955697,0.781305,121.88337333333334,65323.666666666664,0.0018238425376387354,0.6001810683029877,0.045394768831433785,0.295522901027317
103590353,62,62,1.0,261.0042,743623,340.60812,174386,0.9154411764705882,79.60391999999996,0.23371116343321457,41.1302724150084,569237,3.264235661119585,159695.31480697863,0.9115383999999999,0.19780615099839544,0.19827610939371554,0.14814814814814814,0.14814814814814814,0.9545221904444444,376.83975653333334,122520.96,0.0,0.5021715767869552,0.8219677577758506,1.0,70.04275333333332,454358.0,0.0004580387104756039,0.2345086152526213,0.03981314774372635,0.3827249601379199
103590354,62,62,1.0,258.83104,766315,330.42229,217807,0.911764705882353,71.59125,0.2166659216604304,25.976789339349075,548508,2.518321266075011,160997.68384731503,0.9076924,0.1271267677902652,0.07989365179467534,0.14814814814814814,0.14814814814814814,0.9545221904444444,376.83975653333334,122520.96,0.0,0.23553757650412432,-0.07564762001765468,1.0,75.87414333333334,531706.0,0.00043118337759276535,0.28422646039813915,0.10188172814597869,0.40391503516522853
103590453,52,52,1.0,419.90594,14180,455.91338,2560,1.0,36.00744000000003,0.07897868669702132,15.46719165371872,11620,4.5390625,3401.5352783706358,1.0,0.0,0.0,-0.16129032258064513,-0.16129032258064513,0.9545221904444444,376.83975653333334,122520.96,0.0,-0.14526823387582877,3.317032040472175,1.0,49.826510000000006,14869.0,0.032151860366713685,0.18053596614950634,0.03416427796949084,1.0672466577024142
103590454,47,47,1.0,356.40479,137662,416.20042,66465,1.0,59.79563000000002,0.1436702778915985,18.09831705432006,71197,1.0711953659820959,16890.639446648158,1.0,0.0,0.0,0.14634146341463405,0.14634146341463405,0.9545221904444444,376.83975653333334,122520.96,0.0,-0.067886355018688,-0.3263158961676076,1.0,57.134443333333344,68518.0,0.003023350089349276,0.4828129767110749,0.021907144091278474,0.17218382503572735
103590455,88,88,1.0,304.54204,320432,347.55841,132996,0.9970238095238095,43.016369999999995,0.12376731151463144,10.900879641228887,187436,1.4093356191163644,36502.32530492635,0.99702375,0.005952500000000027,4.7812212725798865e-05,0.04761904761904767,0.06024096385542177,0.9545221904444444,376.83975653333334,122520.96,0.012048436638177451,-0.11346709310432601,0.3303591077323198,0.9960316666666666,55.42378666666667,236799.66666666666,0.0010846557459929095,0.41505217955759727,0.0839557157274848,-0.10804972493083076
103590456,15,15,1.0,321.33271,262905,383.92736,55524,1.0,62.59465,0.16303774234792748,29.72399753985364,207381,3.734979468338016,138770.7255496754,1.0,0.0,0.0,-0.2857142857142857,-0.2857142857142857,0.9545221904444444,376.83975653333334,122520.96,0.0,-0.5588864485581448,-0.5440817834708708,1.0,64.29376666666667,337212.6666666667,0.0014603273425762159,0.2111941575854396,0.0393772538788146,0.9722786147844978
103610031,52,52,1.0,346.92307,134852,371.16076,77252,1.0,24.237689999999986,0.06530240427355517,17.353825453024946,57600,0.7456117640967224,26095.74654230072,1.0,0.0,0.0,-0.16129032258064513,-0.16129032258064513,0.9406703691666667,369.82912625,160240.4375,0.0,0.05462707344349993,0.49768325546228254,1.0,42.83765333333332,87148.0,0.002752356361047667,0.5728650668881441,0.046621916898798764,0.5455811411021906
103610049,52,52,1.0,339.79763,177548,393.85267,39712,1.0,54.05503999999996,0.13724685426151856,26.498273038300997,137836,3.470890410958904,34240.28936014803,1.0,0.0,0.0,0.0,0.0,0.9406703691666667,369.82912625,160240.4375,0.0,0.539958714243586,0.0692226919038259,1.0,38.4701,92391.66666666667,0.0022182884065154213,0.22366909230180007,0.036170346975684074,0.5006577113116681
103610058,52,52,1.0,382.94873,57216,417.40956,15851,1.0,34.46082999999999,0.08255879429306791,20.387639155439988,41365,2.609614535360545,8578.379693547417,1.0,0.0,0.0,0.0,0.0,0.9406703691666667,369.82912625,160240.4375,0.0,0.257466868860025,3.524978589780188,1.0,37.377976666666655,35473.333333333336,0.0072953292785234896,0.2770378914988814,0.016239268822026753,3.353770890809415
103610067,22,21,0.954545,261.38163,444532,316.92829,216242,0.8515625000000001,55.54666000000003,0.1752657044279639,23.536410139221314,228290,1.0557153559438037,69928.09980162958,0.8499276666666667,0.3238305696605351,0.6790052500010499,0.0,0.0,0.9406703691666667,369.82912625,160240.4375,0.0,0.16617827995183476,-0.23716358992630637,0.9696966666666667,52.62718000000003,182443.66666666666,0.0007129482017042642,0.48644866961208644,0.09558764256281756,-0.0051245310929337595
