DEPARTMENT_ID,PREDICTED_LAST_RANK,PREDICTED_FIRST_RANK,Mean_Predicted
101011323,853846.5,28403.748,441125.12
101090535,223484.22,77431.15,150457.69
101090538,807120.6,56585.367,431853.0
101090547,788229.75,106446.38,447338.06
101090550,798657.5,10812.642,404735.06
101090552,1126759.6,126452.88,626606.25
101090553,1107012.4,166688.27,636850.3
101090554,910835.2,28929.639,469882.4
101090555,855885.5,13332.545,434609.03
101110015,22962.193,5243.2573,14102.726
101110024,13111.602,8997.984,11054.793
101110033,465708.44,73783.52,269745.97
101110042,52423.402,9442.418,30932.91
101110051,231464.08,44889.3,138176.69
101110069,349931.06,134462.7,242196.88
101110087,62058.13,6407.6304,34232.88
101110096,200263.19,10438.841,105351.016
101110103,43883.973,10333.472,27108.723
101110121,73812.234,8375.696,41093.965
101110139,281517.8,16903.97,149210.89
101110148,20746.436,4968.2085,12857.322
101110166,85115.17,19218.742,52166.957
101110175,71114.73,18739.814,44927.27
101110184,71379.52,22301.309,46840.414
101110193,10588.419,5519.1924,8053.8057
101110209,15750.352,3780.9612,9765.656
101110218,24198.047,7370.029,15784.038
101110227,11461.816,1880.9161,6671.366
101110236,17202.328,5951.0566,11576.692
101110245,38429.633,8780.658,23605.145
101110263,14441.443,6052.9116,10247.178
101110272,20681.914,5285.382,12983.648
101110281,84175.62,4531.043,44353.33
101110299,14184.148,2930.5676,8557.358
101110306,189025.58,52226.785,120626.18
101110315,174878.55,15929.292,95403.92
101110324,7724.7075,790.72974,4257.7188
101110333,40031.023,5947.958,22989.49
101110342,83808.67,30225.201,57016.938
101110351,45634.457,10268.109,27951.283
101110369,22115.43,9338.605,15727.018
101110378,39748.176,14876.368,27312.271
101110387,247036.98,166522.86,206779.92
101110403,9788.251,2133.5056,5960.8784
101110412,48216.11,8269.062,28242.586
101110421,67370.1,17435.637,42402.867
101110439,44722.223,13570.083,29146.152
101110457,274607.78,89204.66,181906.22
101110466,220455.64,113557.76,167006.7
101110475,229064.77,52205.473,140635.12
101110484,145574.98,90907.625,118241.305
101110493,197840.39,116871.125,157355.75
101110509,119817.25,72932.25,96374.75
101110518,4242.8926,217.92581,2230.4092
101110536,61773.75,649.2515,31211.5
101110554,42260.24,1854.8583,22057.549
101110563,51252.816,6389.937,28821.377
101110581,29318.41,16041.5,22679.955
101110651,96504.66,68438.35,82471.5
101110669,178963.05,92623.664,135793.36
101110678,91133.14,40429.7,65781.42
101110696,211906.78,119414.45,165660.62
101110775,3406.2322,80.33588,1743.284
101110784,62314.332,27154.305,44734.32
101110793,308462.4,175575.72,242019.06
101110899,475103.47,50780.145,262941.8
101110915,589124.25,152664.08,370894.16
101110924,326841.34,173032.45,249936.9
101110933,238084.34,103207.164,170645.75
101110942,330468.97,98246.96,214357.97
101110969,449606.16,329342.6,389474.38
101110978,353012.12,175588.45,264300.28
101110987,396744.53,247407.14,322075.84
101110996,413241.7,182933.81,298087.75
101111004,525760.3,319302.62,422531.47
101111013,426832.2,219391.02,323111.6
101111022,15112.353,6722.089,10917.221
101111031,155196.17,114845.52,135020.84
101111049,16035.933,770.8037,8403.368
101111094,565773.94,175342.12,370558.03
101111191,31998.88,12011.2295,22005.055
101111279,338328.72,152910.19,245619.45
101111288,92072.43,57752.637,74912.53
101111304,100082.164,46179.793,73130.98
101111313,108636.17,58831.883,83734.03
101111322,39790.43,13494.773,26642.602
101111331,52932.008,15634.124,34283.066
101111349,281055.88,57726.863,169391.38
101111367,130305.81,64505.793,97405.805
101111376,573525.6,172369.86,372947.75
101111385,474463.25,48691.934,261577.6
101111394,4206.4424,1068.0864,2637.2644
101111401,375124.97,211817.08,293471.03
101190201,245568.42,49905.3,147736.86
101190204,57571.22,49576.37,53573.797
101190208,2553.9624,1199.4923,1876.7273
101190209,145766.28,56568.32,101167.3
101190210,77775.07,52466.516,65120.793
101190211,157854.25,99545.29,128699.766
101190216,88970.08,40286.48,64628.28
101190217,68415.58,36269.715,52342.65
101190339,69039.88,9369.555,39204.72
101190340,319243.88,172887.12,246065.5
101190406,23020.344,6892.4595,14956.401
101190408,46213.41,12953.15,29583.281
101190413,66268.01,4488.73,35378.367
101190414,251583.33,111466.734,181525.03
101190416,259819.86,153271.23,206545.55
101190420,213454.36,42859.9,128157.125
101190421,22492.01,7920.576,15206.293
101190422,51448.758,23689.428,37569.094
101190424,296906.3,193181.86,245044.1
101190427,25350.703,1541.6185,13446.161
101190428,367646.34,13574.781,190610.56
101190429,17956.703,2975.1716,10465.9375
101190430,32260.564,1869.0117,17064.79
101190431,74240.98,676.2721,37458.625
101190432,45860.895,1930.9113,23895.902
101190433,348502.34,12431.391,180466.88
101190434,443846.7,13426.539,228636.61
