"DEPARTMENT_ID";"DEPARTMENT_NAME";"UNIVERSITY_TYPE";"UNIVERSITY_NAME";"UNIVERSITY_ID";"FACULTY_NAME";"SCORE_TYPE";"SCHOLARSHIP_TYPE";"GENERAL_CAPACITY";"SCHOOL_CAPACITY";"GENERAL_ENROLLMENT";"SCHOOL_ENROLLMENT";"SUM_CAPACITY";"SUM_ENROLLMENT";"FIELD_RATE";"LAST_SCORE_12";"LAST_RANK_12";"LAST_SCORE_18";"LAST_RANK_18"
100150035;"Kooperatifçilik";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"19";"---";"41";"19";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150071;"Turizm ve Otel Ýþletmeciliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"70";"2";"72";"---";"72";"72";"";"206,48558";"1.486.400";"208,67724";"1.697.491"
100150132;"Kimya Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"52";"52";"";"227,40050";"1.201.880";"227,43823";"1.534.384"
100150195;"Bilgisayar Programcýlýðý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"60";"2";"62";"---";"62";"62";"";"248,92849";"939.948";"248,86144";"1.243.989"
100150202;"Aþçýlýk";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mengen Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"80";"2";"82";"82";"";"277,88418";"645.171";"278,15859";"1.144.217"
100150423;"Deri Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"20";"1";"13";"---";"21";"13";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150432;"Tekstil Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"20";"1";"5";"---";"21";"5";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150441;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"82";"---";"82";"82";"";"217,80937";"1.329.821";"217,26893";"1.639.093"
100150459;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"52";"52";"";"184,13845";"1.730.583";"210,05698";"1.730.583"
100150468;"Otomotiv Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Teknik Bilimler Meslek Yüksekokulu";"TYT";"Ücretsiz";"35";"1";"36";"---";"36";"36";"";"236,61532";"1.085.945";"234,62054";"1.381.940"
100150477;"Otomotiv Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"41";"---";"41";"41";"";"216,16136";"1.352.068";"215,80932";"1.646.881"
100150486;"Ýþletme Yönetimi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"82";"---";"82";"82";"";"207,82504";"1.467.447";"209,22603";"1.699.467"
100150495;"Ýþletme Yönetimi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"41";"---";"41";"41";"";"188,36337";"1.712.148";"208,21848";"1.712.148"
100150502;"Ýþletme Yönetimi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mudurnu Süreyya Astarcý Meslek Yüksekokulu";"TYT";"Ücretsiz";"30";"1";"17";"---";"31";"17";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150511;"Kümes Hayvanlarý Yetiþtiriciliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mudurnu Süreyya Astarcý Meslek Yüksekokulu";"TYT";"Ücretsiz";"20";"1";"19";"---";"21";"19";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150538;"Bilgisayar Programcýlýðý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Teknik Bilimler Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"52";"52";"";"276,58017";"656.561";"277,23776";"875.662"
100150556;"Ayakkabý Tasarým ve Üretimi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"20";"1";"16";"---";"21";"16";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150592;"Turizm ve Otel Ýþletmeciliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mudurnu Süreyya Astarcý Meslek Yüksekokulu";"TYT";"Ücretsiz";"25";"1";"26";"---";"26";"26";"";"190,65262";"1.694.301";"217,25630";"1.694.301"
100150608;"Ýnþaat Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Yeniçaða Yaþar Çelik Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"41";"---";"41";"41";"";"211,98078";"1.409.252";"213,76344";"1.668.696"
100150617;"Lojistik";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Yeniçaða Yaþar Çelik Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"52";"52";"";"201,26313";"1.561.485";"205,00613";"1.714.453"
100150635;"Gýda Kalite Kontrolü ve Analizi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Yeniçaða Yaþar Çelik Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"41";"---";"41";"41";"";"215,46048";"1.361.627";"215,60173";"1.604.394"
100150644;"Dýþ Ticaret";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Yeniçaða Yaþar Çelik Meslek Yüksekokulu";"TYT";"Ücretsiz";"30";"1";"31";"---";"31";"31";"";"202,29652";"1.546.424";"205,26603";"1.718.099"
100150689;"Mimari Restorasyon";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mudurnu Süreyya Astarcý Meslek Yüksekokulu";"TYT";"Ücretsiz";"60";"2";"62";"---";"62";"62";"";"206,21868";"1.490.134";"207,10709";"1.672.032"
