"DEPARTMENT_ID";"DEPARTMENT_NAME";"UNIVERSITY_TYPE";"UNIVERSITY_NAME";"UNIVERSITY_ID";"FACULTY_NAME";"SCORE_TYPE";"SCHOLARSHIP_TYPE";"GENERAL_CAPACITY";"SCHOOL_CAPACITY";"GENERAL_ENROLLMENT";"SCHOOL_ENROLLMENT";"SUM_CAPACITY";"SUM_ENROLLMENT";"FIELD_RATE";"LAST_SCORE_12";"LAST_RANK_12";"LAST_SCORE_18";"LAST_RANK_18"
100150035;"Kooperatifçilik";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"30";"1";"31";"---";"31";"31";"";"223,86301";"2.065.110";"244,70693";"1.409.392"
100150071;"Turizm ve Otel Ýþletmeciliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"70";"2";"72";"---";"72";"72";"";"250,58170";"1.502.129";"250,83288";"885.050"
100150132;"Kimya Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"51";"1";"52";"52";"";"257,93053";"1.373.772";"257,97749";"845.370"
100150195;"Bilgisayar Programcýlýðý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"60";"2";"62";"---";"62";"62";"";"291,14210";"901.262";"291,54805";"653.246"
100150202;"Aþçýlýk";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mengen Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"80";"2";"82";"82";"";"311,41348";"684.160";"311,11468";"388.087"
100150423;"Deri Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"25";"1";"26";"---";"26";"26";"";"239,86928";"1.708.181";"240,71433";"1.691.044"
100150432;"Tekstil Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"25";"1";"26";"---";"26";"26";"";"222,91257";"2.088.215";"226,51404";"1.303.284"
100150441;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"82";"---";"82";"82";"";"249,86034";"1.515.315";"250,95798";"717.273"
100150459;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"52";"52";"";"227,80215";"1.971.836";"227,55688";"1.281.304"
100150468;"Otomotiv Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Teknik Bilimler Meslek Yüksekokulu";"TYT";"Ücretsiz";"35";"1";"36";"---";"36";"36";"";"271,36022";"1.163.163";"271,48440";"994.388"
