"DEPARTMENT_ID";"DEPARTMENT_NAME";"UNIVERSITY_TYPE";"UNIVERSITY_NAME";"UNIVERSITY_ID";"FACULTY_NAME";"SCORE_TYPE";"SCHOLARSHIP_TYPE";"GENERAL_CAPACITY";"SCHOOL_CAPACITY";"GENERAL_ENROLLMENT";"SCHOOL_ENROLLMENT";"SUM_CAPACITY";"SUM_ENROLLMENT";"FIELD_RATE";"LAST_SCORE_12";"LAST_RANK_12";"LAST_SCORE_18";"LAST_RANK_18"
100150035;"Kooperatifçilik";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"30";"1";"31";"---";"32";"32";"";"240,47036";"1.820.992";"243,01224";"1.775.735"
100150071;"Turizm ve Otel Ýþletmeciliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"70";"2";"72";"---";"74";"74";"";"262,07232";"1.447.380";"264,26385";"1.411.341"
100150132;"Kimya Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"54";"54";"";"265,61920";"1.389.341";"266,91746";"1.368.256"
100150195;"Bilgisayar Programcýlýðý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"60";"2";"62";"---";"64";"64";"";"300,53572";"875.744";"300,96628";"870.392"
100150202;"Aþçýlýk";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Mengen Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"80";"2";"84";"84";"";"310,19049";"759.472";"310,66403";"754.117"
100150423;"Deri Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"25";"1";"26";"---";"27";"27";"";"226,21073";"2.082.086";"231,23430";"1.988.985"
100150432;"Tekstil Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"25";"1";"26";"---";"27";"27";"";"238,03692";"1.864.810";"237,97590";"1.865.900"
100150441;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Meslek Yüksekokulu";"TYT";"Ücretsiz";"80";"2";"82";"---";"84";"84";"";"263,62400";"1.421.667";"264,07961";"1.414.248"
100150459;"Muhasebe ve Vergi Uygulamalarý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"50";"2";"52";"---";"54";"54";"";"245,82537";"1.725.881";"245,44510";"1.732.470"
100150468;"Otomotiv Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Bolu Teknik Bilimler Meslek Yüksekokulu";"TYT";"Ücretsiz";"35";"1";"35";"1";"37";"36";"";"Dolmadý";"Dolmadý";"Dolmadý";"Dolmadý"
100150477;"Otomotiv Teknolojisi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Gerede Meslek Yüksekokulu";"TYT";"Ücretsiz";"40";"1";"41";"---";"42";"42";"";"268,96756";"1.335.198";"268,76444";"1.338.471"
